Branch,total_revenue,avg_transaction_val,avg_profit_margin,avg_rating,total_quantity,share_electronic_accessories,share_fashion_accessories,share_food_and_beverages,share_health_and_beauty,share_home_and_lifestyle,share_sports_and_travel,cluster
WALM001,10225.68,138.18486486486486,0.36,6.3,179.0,0.09482303377379304,0.2856220808787288,0.0,0.0,0.47127232614359144,0.14828255920388667,0
WALM002,7734.12,118.98646153846154,0.36,6.1753846153846155,156.0,0.13918066955258002,0.3889906026800722,0.037202681106577096,0.0,0.401867310049495,0.03275873661127575,3
WALM003,24950.56,134.14279569892474,0.4632258064516129,5.370430107526881,467.0,0.14982028459481472,0.3354233331837041,0.041088456531636966,0.047595324513758405,0.406054613603863,0.02001798757222283,1
WALM004,7565.65,126.09416666666667,0.4799999999999999,7.001666666666667,148.0,0.0805694157144462,0.4787057291838771,0.02091690733777005,0.02934314963023666,0.3904647981336699,0.0,3
WALM005,11654.64,138.74571428571429,0.48,6.582142857142857,226.0,0.14273971568405375,0.31437092866017313,0.04720866538992195,0.07274870781079468,0.42293198245505653,0.0,0
WALM006,7961.46,112.13323943661972,0.48,6.3366197183098585,166.0,0.0,0.4342042791146348,0.03524730388647308,0.0,0.43960529852564734,0.09094311847324485,2
WALM007,8704.41,124.34871428571428,0.48000000000000004,6.224285714285714,164.0,0.03345775302404184,0.4172298869193891,0.12425885269650673,0.0,0.40587587211539894,0.019177635244663337,3
WALM008,9732.93,143.13132352941176,0.48,6.388235294117647,160.0,0.0054680348055518736,0.21596785346242087,0.026445273930871798,0.10108364079470415,0.5932602001658288,0.0577749968406225,0
WALM009,25688.34,109.31208510638298,0.48,5.3382978723404255,502.0,0.06778600719236821,0.44140804738647965,0.029850508051512865,0.0,0.44804218567645865,0.012913251693180642,1
WALM010,8235.62,124.78212121212123,0.48,6.643939393939394,156.0,0.07134860520519402,0.4575733217414111,0.08915175785186784,0.023743203304669225,0.35818311189685775,0.0,3
WALM011,7714.54,113.44911764705883,0.48,6.152941176470588,169.0,0.09620793981235436,0.36437687794735657,0.04154881561311498,0.06479971586121792,0.4161492454507982,0.016917405315158132,3
WALM012,11359.39,141.99237499999998,0.48,6.39625,210.0,0.0,0.3269154417622777,0.18614027689867152,0.0976628146405749,0.3892814666984759,0.0,0
WALM013,6237.110000000001,109.42298245614036,0.48,6.291228070175439,136.0,0.029308445738491062,0.4172733846284577,0.0,0.07191792352547895,0.3846332676512038,0.09686697845636842,2
WALM014,6777.46,130.33576923076924,0.48000000000000004,6.542307692307692,125.0,0.17710912347693683,0.3890070911521426,0.0,0.12965034098320022,0.3042334443877205,0.0,3
WALM015,10122.92,116.35540229885058,0.48,5.9977011494252865,200.0,0.08134016667127668,0.5063212985976379,0.02497401935409941,0.0,0.3558459416848103,0.031518573692175776,3
WALM016,8521.41,121.73442857142857,0.48000000000000004,6.588571428571428,174.0,0.07218406343551126,0.4042945944391832,0.0,0.014718221514984023,0.421816342600579,0.08698677800974253,3
WALM017,13887.71,182.73302631578946,0.48,6.09078947368421,225.0,0.02901846308714684,0.41937799680436877,0.04723024890352693,0.030802054478384126,0.40484860354946933,0.06872263317710407,0
WALM018,7233.95,113.03046875,0.48,6.559375,149.0,0.03687611885622654,0.3372984330828938,0.0,0.0,0.40074924488004476,0.2250762031808348,2
WALM019,9009.8,126.89859154929576,0.48,6.538028169014084,173.0,0.03916624120402228,0.3883060667273413,0.0,0.0,0.3839152922373415,0.1886123998312948,2
WALM020,10832.76,142.5363157894737,0.48,6.546052631578948,204.0,0.10354240285947441,0.3537879543163515,0.049547852994066145,0.025273337542786878,0.3480950376450692,0.11975341464225184,0
WALM021,8050.11,123.84784615384615,0.48,5.970769230769231,160.0,0.0,0.461030967278708,0.04450125526235046,0.015484260463521618,0.37971158158087287,0.09927193541454714,2
WALM022,10400.92,138.67893333333333,0.48,6.214666666666667,179.0,0.07979871011410526,0.4428377489683604,0.038235079204531904,0.04675547932298296,0.3559300523415236,0.036442930048495706,3
WALM023,9198.05,131.4007142857143,0.48000000000000004,6.421428571428572,186.0,0.0294442843863645,0.426226210990373,0.03610547887867538,0.10196291605285904,0.27972450682481614,0.126536602866912,2
WALM024,7774.1,119.60153846153847,0.48,6.283076923076923,157.0,0.004086646685789995,0.4353687243539445,0.0,0.035306980872383945,0.5187262834283068,0.0065113646595747416,3
WALM025,17640.17,110.25106249999999,0.48,5.385,329.0,0.09055014775934697,0.3763795927136756,0.05033624959396649,0.03966174929153177,0.39946723869441164,0.043605021947067404,1
WALM026,9125.39,125.00534246575342,0.48,6.678082191780822,193.0,0.11012570421647731,0.4215534897686564,0.0560436321077784,0.02020845136481838,0.3414648579403181,0.05060386460195126,3
WALM027,9377.82,130.2475,0.48000000000000004,6.336111111111111,192.0,0.04969065305156209,0.5125082375221534,0.06410658340637804,0.0045042451230669816,0.36919028089683953,0.0,3
WALM028,8671.32,123.87599999999999,0.48000000000000004,6.222857142857143,179.0,0.07899374028406285,0.3316657671496381,0.10087968152484279,0.0,0.46244401083110753,0.026016800210348592,3
WALM029,23327.34,119.01704081632653,0.48,5.238265306122449,452.0,0.08324266718794343,0.34340220530930665,0.004963274852597854,0.031787164760319876,0.514351829226993,0.0222528586628394,1
WALM030,24460.6,106.81484716157205,0.48,5.403056768558952,489.0,0.018560460495654234,0.47527084372419315,0.03229356597957532,0.055726351765696666,0.40058788418926766,0.017560893845612945,1
WALM031,5568.84,99.44357142857143,0.48,6.244642857142857,132.0,0.07761041796855359,0.40841719280855615,0.008728927388827834,0.19103619425230386,0.2915364779738689,0.022670789607889614,3
WALM032,18431.83,108.42252941176471,0.48,5.268235294117647,365.0,0.08464976076710776,0.42918039066115515,0.0,0.0,0.486169848571737,0.0,1
WALM033,6572.91,115.31421052631579,0.48,6.249122807017543,128.0,0.012085971053916759,0.5036734110158211,0.0637388919063246,0.0,0.33572953227718016,0.08477219374675754,2
WALM034,7453.09,133.09089285714285,0.48,6.671428571428572,143.0,0.09351960059518938,0.39791817890297854,0.015393615265614663,0.043364564227722995,0.4498040410084944,0.0,3
WALM035,18743.58,108.34439306358382,0.4799999999999999,5.227745664739884,375.0,0.06324192070031445,0.45466234305292796,0.0522963062552618,0.011975300342837385,0.40404021003458246,0.013783919614075858,1
WALM036,7688.5,105.32191780821918,0.48,6.389041095890411,164.0,0.015004227092410742,0.4778565389867985,0.03251089289198153,0.10574234245951745,0.3065097223125447,0.06237627625674709,2
WALM037,8688.85,131.64924242424243,0.48,6.287878787878788,169.0,0.08323771270076016,0.2685890537873251,0.018985251212761182,0.07249060577636858,0.42272567716095916,0.13397169936182576,0
WALM038,20062.24,106.149417989418,0.48,5.275661375661376,397.0,0.03832872102018519,0.47219453062070843,0.04493117418593338,0.023768532327397143,0.4146037531202897,0.006173288725486287,1
WALM039,6769.33,114.73440677966101,0.48,6.450847457627119,154.0,0.0842564921491492,0.20740605052494118,0.1405131674774313,0.08879608469375848,0.4790282051547199,0.0,0
WALM040,7687.74,111.41652173913043,0.48,6.415942028985507,164.0,0.06377817147822377,0.4410268817623905,0.0,0.0023088710076043157,0.4062312200984945,0.08665485565328693,3
WALM041,7327.06,109.35910447761195,0.4799999999999999,6.237313432835821,144.0,0.0,0.43489203036415697,0.04821579187286578,0.0,0.4741601679254707,0.04273200983750645,3
WALM042,11139.71,174.05796875,0.48,6.609375,198.0,0.06822529491342233,0.245473176590773,0.22315751487246976,0.06795149963508924,0.35077663601655695,0.044415877971688666,0
WALM043,10777.39,134.717375,0.48,6.215,192.0,0.0,0.552524312472686,0.0,0.07662337541835268,0.2521946408174892,0.11865767129147226,2
WALM044,9825.91,140.37014285714287,0.48000000000000004,6.198571428571428,186.0,0.06863486435353063,0.37569751809247187,0.14558448021608178,0.07370615037182307,0.24547853583026918,0.09089845113582355,0
WALM045,7628.66,115.58575757575757,0.48,6.2303030303030305,150.0,0.028088812451990252,0.3826635346181373,0.06359570357048287,0.1315289972288711,0.3835142738043116,0.010608678326206699,3
WALM046,21003.99,109.96853403141363,0.48,5.2476439790575915,411.0,0.07318371414193209,0.5247607716438639,0.016456873194093124,0.0,0.35690171248415187,0.028696928535959124,1
WALM047,9915.05,122.40802469135802,0.4799999999999999,6.469135802469136,188.0,0.042162167613879906,0.4092031810227885,0.03600082702558232,0.035243392620309524,0.4217739698740802,0.05561646184335934,3
WALM048,8130.8,102.92151898734177,0.48000000000000004,6.506329113924051,171.0,0.009396369360948491,0.4881659861268264,0.0,0.03967383283317755,0.43301520145619127,0.029748610222856294,3
WALM049,10960.81,154.3776056338028,0.48,6.143661971830986,185.0,0.08455214532502615,0.31806134765587574,0.11137771752270131,0.0,0.3702527459193253,0.11575604357707138,0
WALM050,16009.03,106.02006622516556,0.48000000000000004,5.119205298013245,326.0,0.08365841028469558,0.39482592012133155,0.0,0.0,0.5215156695939729,0.0,1
WALM051,8692.42,127.82970588235294,0.5157352941176471,6.269117647058824,170.0,0.032366130490703394,0.39385579619944733,0.052725247974672186,0.0912611217589578,0.33212845214566256,0.09766325143055675,2
WALM052,10936.64,138.43848101265823,0.57,6.397468354430379,193.0,0.070399135383445,0.3414211311700851,0.1228841764929631,0.11191005647072592,0.3533855004827808,0.0,0
WALM053,8657.46,116.99270270270269,0.4289189189189189,6.398648648648648,168.0,0.07298214487852095,0.49656596738535325,0.10262478833283667,0.02392734127561664,0.28599612357435095,0.017903634553321647,3
WALM054,19385.22,110.77268571428571,0.23057142857142857,5.064571428571428,364.0,0.11458471969882209,0.4847719035430085,0.0,0.01364751083557473,0.3869958659225946,0.0,1
WALM055,20126.35,108.20618279569892,0.33,5.177956989247312,411.0,0.10684103178171901,0.46053059794746687,0.0057536513078625786,0.0,0.4140234071254848,0.012851311837466807,1
WALM056,18604.37,110.08502958579881,0.33,4.989349112426035,375.0,0.10366059157069012,0.43310630781907694,0.05257689456831917,0.0,0.41065620604191383,0.0,1
WALM057,11248.74,158.43295774647888,0.33,6.294366197183098,199.0,0.012232481148999799,0.4546038045149946,0.17553254853432473,0.015859554047831136,0.20623732080215204,0.1355342909516977,2
WALM058,24524.37,102.61242677824268,0.33,5.298744769874477,495.0,0.029236225028410518,0.48907596810845705,0.0,0.023681342273012516,0.45206298877402357,0.005943475816096397,1
WALM059,11635.25,147.28164556962025,0.33,6.732911392405063,219.0,0.05160267291205604,0.40080445198856923,0.06656324531058637,0.1338535914569949,0.25741776068412797,0.08975827764766549,0
WALM060,8802.73,111.42696202531646,0.33,6.241772151898735,186.0,0.0,0.4403702033346473,0.01656077148793613,0.038040471535535005,0.48254007563562673,0.02248847800625488,3
WALM061,10346.11,149.9436231884058,0.33,6.569565217391305,184.0,0.04583751767572546,0.30680903257359526,0.06593685936066791,0.05752306905687258,0.47429227023489984,0.04960125109823886,0
WALM062,12242.22,163.2296,0.33,6.177333333333333,203.0,0.0584763221049777,0.3842146277390866,0.042874576669917716,0.0808464477847972,0.3969476124428413,0.03664041325837961,0
WALM063,10476.08,129.3343209876543,0.33,6.3049382716049385,202.0,0.06017708914021276,0.3531454513520325,0.0969188856900673,0.0025839817947171085,0.4739559071713848,0.01321868485158571,0
WALM064,8379.49,130.92953125,0.33,6.33125,166.0,0.08741343446916221,0.3649374842621687,0.04667348490182577,0.24380004033658376,0.2571755560302596,0.0,0
WALM065,20024.81,113.77732954545455,0.33,5.0420454545454545,381.0,0.028864193967383465,0.41473552058671226,0.0185215240494167,0.07683668409338217,0.4316070914031145,0.029434985899991068,1
WALM066,12200.460000000001,162.67280000000002,0.33,6.294666666666667,208.0,0.02688423223386659,0.3204272625786241,0.0414394211365801,0.005944038175609771,0.602946118425043,0.002358927450276465,0
WALM067,10232.41,140.17,0.33,6.382191780821917,186.0,0.09375210727482577,0.35807791126430627,0.03359325906604602,0.0,0.4975406575772472,0.017036064817574744,0
WALM068,7743.22,131.24101694915254,0.33,6.322033898305085,135.0,0.01914449027665493,0.38846887987168127,0.04107464336542162,0.011242093082722691,0.33396958887904515,0.2061003045244743,2
WALM069,24077.7,108.4581081081081,0.33,5.356756756756757,504.0,0.07191882945630189,0.42941020114047435,0.03636393841604472,0.02471996910003862,0.38591725953890943,0.05166980234823094,1
WALM070,9928.01,146.00014705882353,0.33,6.404411764705882,182.0,0.08548742396512493,0.2834505605856561,0.07612401679692103,0.13584091877425586,0.36547908392517736,0.053617995952864664,0
WALM071,7719.19,111.87231884057971,0.33,6.311594202898551,179.0,0.012804452280614937,0.44244020421831826,0.036115188251617074,0.13109665651447885,0.30605801904085794,0.071485479694113,2
WALM072,8193.35,130.0531746031746,0.33,6.057142857142858,165.0,0.07776306394820189,0.4548615645615041,0.08766621711509943,0.0,0.34981906057961637,0.02989009379557812,3
WALM073,18170.63,111.47625766871167,0.33,5.3196319018404905,367.0,0.07991302447961353,0.4096621856259249,0.00976080631216419,0.044113495239295496,0.45115001516182984,0.005400473181172033,1
WALM074,25555.42,121.69247619047619,0.32999999999999996,5.1761904761904765,473.0,0.08918695133948101,0.38672931221635176,0.04964621986255753,0.0011551365620287202,0.45539771993573175,0.01788466008384914,1
